,teks,label,clean_text
13,"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",2,terima setting ponsel ponsel akses internet kirim fotomms tuju balas pesan gratis ketik y
14,Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,2,aktif paket bbm gratis laku kali aktivasi ketik flash spasi ya lanjut
15,Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,2,kupon program kartu as biber beli internet hadiah cek total kupon maksimal x jam informasi lengkap hubung
16,Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,2,nikmat paket reguler sisa kuota kbdapatkan agam paket internet hemat tri
17,Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,2,daftar layan paket malam langgan laku isi ulang voucher kenyang download
18,"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",2,tukar poin poin tukar poin menang hadih menang tukar poin tinggi sd november
19,AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,2,angpaopoinsenyum dptkan vchr lottemart tukar poin normal poin sd feb ketik batas informasi wwwindosatooredoocomangpao
20,Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,2,nya eks internetan pakai volume ultima mbhr harga rupiah tariflokasi cek tselmefl
21,"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",2,ayam sayappaha nasi perkedel rupiah gratis teh pucuk tukar sms cfc hasan sadikin sedia promo
22,"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",2,ayo anak medan beli stiker line pulsa klik httpwwwtelkomselcomlinestore nama stickernya dan medan
23,AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,2,ayo download axisnet appleplay store aktif bronetjam rupiah bronetjam obor rupiah informasi ld
24,AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,2,ayo download axisnet playapple store aktif bronetjam rupiah bronetjam obor rupiah informasi ld
25,Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,2,ayo dukung lestari alam indonesia indosat ooredoo wwfindonesia donasi nomor indosat ooredoo
26,"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",2,ayo kawal manfaat subsidi bbm kompensasi hak adu ketik bbm spasi isi pesan kirim
27,"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",2,banting harga internetan kuota rupiah paket laku bulan ketik ya sd desember
28,BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,2,bebas ekspresi diri paket freedom combo indosat ooredoo hubung wwwindosatooredoocomfreedom
29,Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,2,bebas pulsa ambil bonus gratis dptkan gratis telpon internetas promo sesuai hobi
30,"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",2,beli gratis lychee tea latte flavour yellow truck jlpatuha nomor tukar sms laku sk berlakupromo
31,Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,2,beli gratis beli diskon tiket kampung gajah wonderland bandung sd mei tunjuk sms tugas informasi wwwindosatcomkampunggajah
32,Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#,2,beli gratis donut dunkin donuts borma setiabudhi tukar sms laku sedia promo
33,Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1,2,beli paket turbo beli mytelkomsel app sjk aug september extra pulsa rupiah loh cek detail paket tselmemytsel
34,"Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016",2,internetan paket laku ketik ya tawar laku sd januari
35,"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",2,bonus kuota mbak isi ulang min ayo buru isi pulsa t
36,BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,2,bonus pulsa ayo isi pulsa min dapetkan bonus pulsa telpon nomor tri ayo buru isi pulsa t
37,"BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016",2,bonus pulsa indosat ooredoo ketik telepon hp april
38,BONUS PULSA 50rb cuma dgn isi ulang 25rb!! Hny Indosat yg bisa begini. Penawaran berlaku s/d 11 April 2016. Bonus 1x utk digunakan ke sesama Indosat Ooredoo,2,bonus pulsa isi ulang indosat tawar laku sd april bonus x indosat ooredoo
39,BONUS PULSA Rp 100 rb..!! Spesial untuk kamu pelanggan setia Indosat Ooredo.Hanya dengan isi ulang Rp150rb skrg juga! Penawaran berlaku s.d 13 Jan 2016 (bonus hanya 1x),2,bonus pulsa rupiah spesial langgan setia indosat ooredohanya isi ulang rprb tawar laku sd jan bonus x
40,"BONUS Rp. 5,000 untuk kamu! Cukup kirim SMS 2X hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  T483",2,bonus rupiah kirim sms x bonus khusus t
41,"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010",2,bonus rupiah telepon teman menit bonus khusus a
42,Buktikan hematnya pakai argo tetap di Bandung dengan GrabCar hingga 20%. Hayu ajakan rerencangan sareng buktikeun nyalira!,2,bukti hemat pakai argo bandung grabcar hayu aja rencang bareng buktikeun nyalira
43,Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.,2,buru download registrasi mycare httpbitlymycareply dapat promo paket freedoom m l harga khusus
44,"Butuh Piknik?Ada nih liburan GRATIS ke Hongkong!Cara:Pake pulsa AXIS di HP Androidmu buat transaksi sebanyak2nya items Pokemon Go,BIGO,COC, dll!Info838 LD328",2,butuh piknikada nih libur gratis hongkongcarapake pulsa axis hp androidmu transaksi banyak items pokemon gobigococ dllinfo ld
45,"Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd",2,buy get tiket trans studio bandungmulai meijuni tunjuk sms tugas lokasi informasi wwwindosatcomtransstudiobgd
46,cuma Rp 7500 dapat nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo   internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#,2,rupiah telpon sms unlimited indosat ooredoo internetan puas paket ramadhan unlimited ketik
47,"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",2,dapat bonus pulsa hg isi ulang minggu isi ulang gratis kirim pandu ketik pan kirim cek bonus tekan
48,"Dapatkan Bonus SMS Kamu. Hanya dg kirim SMS, Kamu akan dapat Bonus Ratusan SMS ke semua operator. Pakai terus Indosat Ooredoo & raih kebebasan berkomunikasi",2,dapat bonus sms kirim sms bonus ratus sms operator pakai indosat ooredoo raih bebas komunikasi
49,Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,2,dapat disc mcdonalds khusus bayar tcash tapdptkan stiker tcash tap grapari dekat informasi tselmetappromo
50,Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id,2,dapat disc dominos pan pizzaroti tebal keju pinggirmulai rpkunjungi toko terdekattelf klik panpizzacoid
51,"Jika anda bermasalah dgn CC/KT@, stres dgn bunga, pelunasan disc s/d 75%. Hub: ATY 082134976289(wa)/087888869297. LEGAL",1,masalah cckt stres bunga lunas disc sd hubung aty wa legal
52,"Lelah byr min payment? Kami Solusinya, bantu secara LEGAL penutupan CC/KTA, dscn 50-75%. Hub.LoLyta 081316523061/087822962308 (WA). LEGAL",1,lelah bayar min payment solusi bantu legal tutup cckta dscn hublolyta wa legal
53,"Dana Tunai (KTA) bunga 0,99% hingga 300 jt. Syarat KTP & CC.
Bisa Dgn BPKB rate 0.99% 3 hari CAIR . hub AYU 081584650877 (WA).mhn maaf bila menggangu",1,dana tunai bunga jt syarat ktp cc bpkb rate cair hubung ayu wamhn maaf menggangu
54,"“ROXI CELL” Hanya dengan Rp.100rb Anda bisa jadi agen pulsa elektrik ke semua Operator GSM/CDMA,v5=4300,v10=8300,Utk daftar ketik MTRONIK kirim ke 087870870707",1,roxi cell rprb agen pulsa elektrik operator gsmcdmavvutk daftar ketik mtronik kirim
55,3 RAMADHAN Selamat Anda Pemenang Rp.100jt. PIN CODE 7Y7R8K9Z Info: www.hadiah-3ramadhan.blogspot.com   ,1,ramadhan selamat menang rpjt pin code yrkz informasi wwwhadiahramadhanblogspotcom
56,Anda brminat cash&kredit mtor scond brg istmwa tipe&merk apa sj.dsini mnyediakn 50 unit dr thn 2004 keatas hub 087739124242/085743146233 MS DEDIKTP luar yk bs.,1,brminat cashkredit motor scond barang istmwa tipemerk sjdsini mnyediakn unit atas hubung ms dediktp yk
57,ANDA MAU MENANG TOGEL 100% Tembus pasang shio 7 tunggal angka 07.31.19.43....ingat maharnya pulsa 100rb dikirim ke no 0823...xxx khusus putaran SGP SENIN,1,menang togel tembus pasang shio tunggal angka mahar pulsa kirim nomor xxx khusus putar sgp senin
58,Anda mempunyai 3 pesan suara dari 083139195872; untuk mendengarkan pesan suara anda silahkan tekan *886*10000*083139195872# tekan OK/YA. Bebas biaya. Terima kasih,1,pesan suara dengar pesan suara silah tekan tekan okya bebas biaya terima kasih
59,Anda pmain togel sring kalah.mau bagi hasil. MBAH JOKO bisah mbntu anda SIO/ANGKA dari RETUWAL Berminat. Hub : MBAH JOKO.di. 085217984299 Dijamin 100% tembus,1,main togel kalahmau hasil mbah joko bisah mbntu sioangka retuwal minat hubung mbah jokodi jamin tembus
60,"ANEKA SHOP Berbagi Promo Type Blackberry DAKOTA 2,4 jt, TOURCH 1,7 jt, ONIX.2 1,5 jt, GEMINI 800 rb, U/Pemesanan 085325557999 Pin BB-2A96DE82 www.aneka999.blogspot.com",1,aneka shop bagi promo type blackberry dakota jt tourch jt onix jt gemini upemesanan pin bbade wwwanekablogspotcom
61,Anyonghaseyo! Ngaku KPOPers Sejati?? Ayo lengkapi koleksi Video Kpopmu di http://kpop.xl.co.id. Skrg Harga video lebih murah loh! Info*123*2200#,1,anyonghaseyo ngaku kpopers sejati ayo lengkap koleksi video kpopmu httpkpopxlcoid harga video murah loh informasi
62,"Artha Cell diskon Brg elektronik BB Dakota 3 juta BB Onyx3 2,8 jt Camera DLL HUB Sms ke : 085335875777 Pin BB 28BDDF4D www.arthajaya-cell.blogspot.com",1,artha cell diskon barang elektronik bb dakota juta bb onyx jt camera lain hubung sms pin bb bddfd wwwarthajayacellblogspotcom
63,"Ass, mengenai rumah dan tanah yg kemarin, sy sdah survei, sy mrasa cocok, untuk nego harga hubungi atau sms suami saya, pak. haji. dermawan; 085796022225.",1,ass rumah tanah kemarin survei cocok nego harga hubung sms suami haji dermawan
64,"Ass, Sy Randy. Mengenai mobil yg sdh sy liat kondisi'y , kebetulan kami berminat. Mohon hub Bapa sy utk dibicarakan hrg netnya; Dr.H.DARMAWAN 0812xxxxxxx",1,ass randy mobil lihat kondisiy minat mohon hubung bapa bicara harga net drhdarmawan xxxxxxx
65,"Ass,maaf sy WAHYU.mengenai Mobil bpk yg mau di jual sy sudah lihat dan cocok, Untuk nego hrg silahkan Hub saudara sy di 081219550857 dgn pak JUSMAN SAFEI (TP)",1,assmaaf wahyumengenai mobil jual lihat cocok nego harga silah hubung saudara jusman safei
66,Ass. Maaf sy by hj.suri yang kemarin survey rumah anda. Mengenai harga bisa hub suami saya H. SIGIT tlp 081316005639.terima kasih,1,ass maaf by hjsuri kemarin survey rumah harga hubung suami h sigit telepon terima kasih
67,"Ass.sy SUGIYONO yg tempo hari mngenai mobil TOYOTANYA,sy brminat,cocok,tlong hub sodara sy dlu,untuk negosiasi harganya. A/N;ABDULLAH HP;081389909777",1,asssy sugiyono tempo mngenai mobil toyotanyasy brminatcocoktlong hubung saudara dluuntuk negosiasi harga anabdullah hp
68,"Assalamu alaikum,saya RESKI dr Costumer Servis TRI PLAZA SEMANGGI lt.1 JL.jend sudirman jkt pst sdh m-hubungi anda waktu pengundian di lakukan tapi no.anda tdk tersambung, jd kami krimkn lwt SMS sebelum jatuh tempo, bahwa no.anda menang undian dr TRI 2014 jenis hadiah 1unit mobil SUZUKI ERTIGA NEW,dengan PIN 2D45CS77, jadi silahkan cek terlebih dahulu di website; www.tricare.jimdo.com /hub; 021-40161777 / 08994179888 ",1,assalamu alaikumsaya reski costumer servis tri plaza semanggi lantai jljend sudirman jakarta mhubungi undi laku noanda sambung krimkn sms jatuh tempo noanda menang undi tri jenis hadiah unit mobil suzuki ertiga newdengan pin dcs silah cek situs wwwtricarejimdocom hubung
69,"Assalamu alaiqum, nenek masuk rumah sakit tolong kirimkan dulu ulsa 50 ribu di nomor ini 0852 3173 7479, mau telpon nanti di rumah sakit saya ganti uangnya.",1,assalamu alaiqum nenek masuk rumah sakit tolong kirim ulsa ribu nomor telepon rumah sakit ganti uang
70,ayah isikan pulsa xl 50rb di no 0818643929 sekarang penting,1,ayah isi pulsa xl nomor
71,"Bapak tukokno pulsa AS ndisek 20ribu iki nmrku anyar 085316079211 cepet saiki tak enteni,penteng bpk ada msalah dikantor polisi,jangan dulu sms/tlp",1,belikan pulsa as ndisek ribu nmrku anyar cepat entenipenteng kantor polisijangan smstlp
72,"BELANJA ONLINE Promo Disc 50% BB Dakota 2,8jt BB Onyx3 2,2jt BB Z10 3,5jt DLL, Info/sms: 085775102735 PIN:BB.2A03F3F2 Atau Klik: www.jaya-olshop.blogspot.com",1,belanja online promo disc bb dakota jt bb onyx jt bb z jt lain infosms pinbbaff klik wwwjayaolshopblogspotcom
73,BELANJA ONLINE TOKO RESKY DISCON 50% BB LAPTOP SAMSUNG IPAD NOKIA DLL U/pemesanan/order  call/sms 085322222699 kunjungi web kami di www.reskiy-shop.blogspot.com,1,belanja online toko resky diskon bb laptop samsung ipad nokia lain upemesananorder callsms kunjung situs wwwreskiyshopblogspotcom
74,Belikan dulu mama pulsa simpati 20 ribu ini nomor barunya mama 081223052854. kalau bisa kirim sekarang secepatnya penting. Ini hpnya orang mama pinjam,1,belikan mama pulsa simpati ribu nomor baru mama kirim cepat hpnya orang mama pinjam
75,"Bella bingung bang mau nulis apa, daripada aq nulis panjang2 tapi serba salah, mending langsung ngobrol di tlpn aja deh bang ini no telp aq 0809-100-xxxx :)",1,bella bingung bang nulis nulis serba salah mending langsung ngobrol telepon deh bang nomor telepon xxxx
76,"berkah 1000 poin"" Nomor Anda mndpt Hadiah ke-I Pin d377hi8, silahkan verifikasi Pin Pemenang di situs resmi www.berkah1000poin.wix.com/prize",1,berkah poin nomor mndpt hadiah kei pin dhi silah verifikasi pin menang situs resmi wwwberkahpoinwixcomprize
77,"Berkat isi ulang pulsa No anda T,pilih sbg pemenang Cek tunai Rp.75jt dri PT.M-KIOS PIN:(5N939F7) U/INFO KLIK www.pt-mkios15.blogspot.com",1,berkat isi ulang pulsa nomor tpilih menang cek tunai rpjt ptmkios pinnf uinfo klik wwwptmkiosblogspotcom
78,Berkat isi ulang pulsa No Anda Terpilih sbg Pemenang kejutan tri Men-dpt cek TUNAI 100jt dr PLANET-3CARE PIN:b8337h9 cek hadiah anda di www.planet-3care2015.blogspot.com,1,berkat isi ulang pulsa nomor pilih menang kejut tri mendpt cek tunai jt planetcare pinbh cek hadiah wwwplanetcareblogspotcom
79,"BIG SALE !!! DISCOUND 40% Z10-4,4jt IPHONE 5 32GB-3,7jt S.NOTE 2-3,8jt CAMERA, LAPTOP dll PIN BB 28AB8391 Call/sms: 0897-9844-777 Kunjungi www.indracell.com",1,big sale discound zjt iphone gbjt snote jt camera laptop lain pin bb ab callsms kunjung wwwindracellcom
80,"BIG SALE 50% SINAR Blackberry -Z10 Rp.3,8jt -Dakota Rp 2,8jt -Tourch Rp 2jt -Davis Rp950 rb Infohub/sms: -089664054777 -297CCFA7 www.snr-bb.blogspot.com",1,big sale sinar blackberry z rpjt dakota rupiah jt tourch rupiah jt davis rupiah infohubsms ccfa wwwsnrbbblogspotcom
81,"Blackberry City Jual Blackberry Discond 40% Dakota 2,5jt Torch2 2,2jt Onyx3 2,1jt Davis 1,3jt Gemini 3G 1,1jt U/info Hub: Ibu.Anita 081315277257 PIN BB:29762D76",1,blackberry city jual blackberry discond dakota jt torch jt onyx jt davis jt gemini jt uinfo hubung ibuanita pin bbd
82,"BLACKBERRY ONLINE BIG SAL 50% BB Z10 Rp. 4 jt DAKOTA Rp.2,8 jt Samsung note II Rp. 3 jt Iphone 5 16GB Rp. 3jt Laptop,camera&DLL Minat, Invite to BBM PIN : 25A4FF8C",1,blackberry online big sal bb z rupiah jt dakota rupiah jt samsung note ii rupiah jt iphone rupiah jt laptopcameradll minat ajak bbm pin affc
83,Bpk/Ibu Mengenai Rekening Anda Terpilih Sebagai Pemenang  Cek 35jt Dri BNI U/Info klik www.promobni46.tk Kode Cek 03299757 Hub.085288991559,1,bpkibu rekening pilih menang cek jt bni uinfo klik wwwpromobnitk kode cek hubung
84,"Bpk/Ibu Yth, Pemilik No.08994150xxx PIN Undian:4881247 Resmi m-dptkan Rp.15jt Cs: 02199545139 atau Klik: 3care2016.com",1,bpkibu hormat milik noxxx pin undi resmi mdptkan rpjt cs klik carecom
85,"BPR SYARIAH di Yogya siap melayani pembiayaan usaha anda.syarat:copy KTP,KK,Buku Nikah, cukup dg jaminan bpkb.sertipikat,proses survey cepat hub: 082133271400",1,bpr syariah yogya layan biaya usaha andasyaratcopy ktpkkbuku nikah jamin bpkbsertipikatproses survey cepat hubung
86,"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",1,butuh dana tunai cepat juta bunga rendah flatbln proses jamin syarat mudah informasi yani
87,CAHAYA TRAVEL TIKET Murah & promo untuk penerbangan Domestic & Internasional ONLINE BOOKING 24 jam hub 081310537888 kelik www.cahayatourtravel.com,1,cahaya travel tiket murah promo terbang domestic internasional online booking jam hubung kelik wwwcahayatourtravelcom
88,"Casino online terbesar, www.jayabet4.com , daftarkan diri+ Raih bonus referral+ bonus cashback sportsbook 0.25% setiap minggu. Mainkan di Smartphone dan PC anda",1,casino online besar wwwjayabetcom daftar raih bonus referral bonus cashback sportsbook minggu main smartphone pc
89,Dapatkan E-TICKET Promo untuk penerbangan DOMESTIK & INTERNASIONAL melalui Via Online mudah & aman. Hub ; 085285485509 klick. www.mhegatravel.com,1,dapat eticket promo terbang domestik internasional via online mudah aman hubung klick wwwmhegatravelcom
90,Dapatkan e-Tiket Murah & Promo Untuk Penerbangan Domestic & International BOOKING ONLINE Info Hub: 085216181177 www.surya-travel.jimdo.com,1,dapat etiket murah promo terbang domestic international booking online informasi hubung wwwsuryatraveljimdocom
91,"Dapatkan Segera TIKET Murah & Promo DiTRAVEL Kmi,Untuk Penerbangan Domestik & Internasional ONLINE BOOKING 24 Jam Anda Berminat Hub:085318303276",1,dapat tiket murah promo ditravel kmiuntuk terbang domestik internasional online booking jam minat hubung
92,dapatkan total hadiah ratusan juta rupiah di Kota 1000 Berkah. Caranya? Klik www.murahituim3.com/kota1000berkah Program s.d 9 Agustus 2013,1,dapat total hadiah ratus juta rupiah kota berkah klik wwwmurahituimcomkotaberkah program sd agustus
93,Daptkn e-TIKET pesawat PROMO melayani Domestik and internasional booking ONLINE cepat & aman hub: 085217845777/082310204777 Link www.citiling-travel.com,1,daptkn etiket pesawat promo layan domestik and internasional booking online cepat aman hubung taut wwwcitilingtravelcom
94,"De inih bapa pake no temen, tolong kirimin pulsa ke no inih soalnya penring banget, nanti di rumah digantiin",1,de inih bapa pakai nomor temen tolong kirimin pulsa nomor inih penring banget rumah digantiin
95,"Di sini saja uangnya ditransfer ke rek Bank xxx (4413-0100-0226-XXX) A/N xxx, kalau sudah SMS di no ini 085215113xxx",1,uang transfer rek bank xxx xxx an xxx sms nomor xxx
96,"Di transfer saja Uang'nya ke rekening BNI ini, a/n. ISMAWATI. Rek: 0248147033. SMS saja klo sdh kirim.",1,transfer uang rekening bni an ismawati rek sms kirim
97,"Dijual ticket SUPER JUNIOR TGL 28/29 APRIL dan LADY GAGA TGL 03 JUNI harga Gold=2,25jt tribun3=1,25jt info hub;0853-9937-1888 lady-ticket.webs.com",1,jual ticket super junior tanggal april lady gaga tanggal juni harga goldjt tribunjt informasi hubung ladyticketwebscom
98,Dptkan e-tiket Promo Untuk Penerbangan Domestic & Internasional Booking ONLINE 24 jam Info Hub : 081316899123,1,dptkan etiket promo terbang domestic internasional booking online jam informasi hubung
99,"Gebyar poin plus-plus INDOSAT Edisi 2013 priode ke'9, No PIN undian anda (d377hi8) Resmi meraih hadiah, utk info; www.gebyarINDOSATpoinplus.weebly.com",1,gebyar poin plusplus indosat edisi priode nomor pin undi dhi resmi raih hadiah informasi wwwgebyarindosatpoinplusweeblycom
100,GEBYAR telkomselpoin 2013 no anda trpilih pemenang ke-4 pin 277fg49 silahkan verifikasi pin anda disitus resmi www.t-selpoinhadiah.jimdo.com,1,gebyar telkomselpoin nomor trpilih menang pin fg silah verifikasi pin situs resmi wwwtselpoinhadiahjimdocom
101, Di kfc yg deket enhaii ada dy,0,kfc enhaii
102," Maaf jika ada janji yang belum terpenuhi, jika ada janji boleh mengingatkan saya. ",0,maaf janji penuh janji
103,*ngsih bunga ato coklat min ,0,ngasih bunga ato cokelat min
104,.sambl nunggu itu.. Gimana kalo ngerjain form formnya aja dulu,0,sambl nunggu form formnya
